ticker,sic_description,sec_name
ABCL,Pharmaceutical Preparations,AbCellera Biologics Inc.
ABSI,Services-Commercial Physical & Biological Research,Absci Corp
ACB,Medicinal Chemicals & Botanical Products,AURORA CANNABIS INC
ACDC,"Oil & Gas Field Services, NEC",ProFrac Holding Corp.
ACHR,Aircraft,Archer Aviation Inc.
ACHV,In Vitro & In Vivo Diagnostic Substances,"ACHIEVE LIFE SCIENCES, INC."
ACMR,"Special Industry Machinery, NEC","ACM Research, Inc."
ACRS,Pharmaceutical Preparations,"Aclaris Therapeutics, Inc."
ACU,"Cutlery, Handtools & General Hardware",ACME UNITED CORP
ACVA,"Services-Business Services, NEC",ACV Auctions Inc.
ADCT,Pharmaceutical Preparations,ADC Therapeutics SA
ADPT,"Biological Products, (No Diagnostic Substances)",Adaptive Biotechnologies Corp
ADV,"Services-Business Services, NEC",Advantage Solutions Inc.
ADVB,Services-Medical Laboratories,Advanced Biomed Inc.
AEHL,"Communications Services, NEC",Antelope Enterprise Holdings Ltd
AEHR,Instruments For Meas & Testing of  Electricity & Elec Signals,AEHR TEST SYSTEMS
AESI,Crude Petroleum & Natural Gas,Atlas Energy Solutions Inc.
AG,Gold and Silver Ores,FIRST MAJESTIC SILVER CORP
AGCO,Farm Machinery & Equipment,AGCO CORP /DE
AGEN,"Biological Products, (No Diagnostic Substances)",AGENUS INC
AGIO,Pharmaceutical Preparations,"AGIOS PHARMACEUTICALS, INC."
AGL,"Services-Misc Health & Allied Services, NEC","agilon health, inc."
AGMB,"Biological Products, (No Diagnostic Substances)",Agomab Therapeutics NV
AGPU,Finance Services,Axe Compute Inc.
AGRO,Agricultural Production-Crops,Adecoagro S.A.
AGYS,Services-Computer Integrated Systems Design,AGILYSYS INC
AII,"Fire, Marine & Casualty Insurance","American Integrity Insurance Group, Inc."
AKBA,Pharmaceutical Preparations,"Akebia Therapeutics, Inc."
AKTS,Pharmaceutical Preparations,"Aktis Oncology, Inc."
ALAB,Semiconductors & Related Devices,"Astera Labs, Inc."
ALEC,"Biological Products, (No Diagnostic Substances)","Alector, Inc."
ALM,Metal Mining,Almonty Industries Inc.
ALNT,Instruments For Meas & Testing of  Electricity & Elec Signals,ALLIENT INC
ALVO,"Biological Products, (No Diagnostic Substances)",Alvotech
AMBQ,Semiconductors & Related Devices,"Ambiq Micro, Inc."
AMC,Services-Motion Picture Theaters,"AMC ENTERTAINMENT HOLDINGS, INC."
AMLX,Pharmaceutical Preparations,"Amylyx Pharmaceuticals, Inc."
AMN,Services-Help Supply Services,AMN HEALTHCARE SERVICES INC
AMPL,Services-Prepackaged Software,"Amplitude, Inc."
AMR,Bituminous Coal & Lignite Surface Mining,"Alpha Metallurgical Resources, Inc."
ANAB,Pharmaceutical Preparations,"ANAPTYSBIO, INC"
ANDG,"Services-Business Services, NEC",Andersen Group Inc.
ANET,Computer Communications Equipment,"Arista Networks, Inc."
ANF,Retail-Family Clothing Stores,ABERCROMBIE & FITCH CO /DE/
ANGX,Services-Motion Picture & Video Tape Production,"Angel Studios, Inc."
ANIK,Surgical & Medical Instruments & Apparatus,"Anika Therapeutics, Inc."
ANL,Pharmaceutical Preparations,Adlai Nortye Group Ltd.
ANRO,Pharmaceutical Preparations,"Alto Neuroscience, Inc."
AOUT,"Sporting & Athletic Goods, NEC","American Outdoor Brands, Inc."
APPF,Services-Prepackaged Software,APPFOLIO INC
APPN,Services-Prepackaged Software,APPIAN CORP
APPS,Patent Owners & Lessors,"Digital Turbine, Inc."
AQST,Pharmaceutical Preparations,"Aquestive Therapeutics, Inc."
ARCT,Pharmaceutical Preparations,Arcturus Therapeutics Holdings Inc.
ARHS,Retail-Furniture Stores,"Arhaus, Inc."
ARIS,Gold and Silver Ores,Aris Mining Corp
ARM,Semiconductors & Related Devices,ARM HOLDINGS PLC /UK
ARQQ,Services-Prepackaged Software,Arqit Quantum Inc.
ARTV,"Biological Products, (No Diagnostic Substances)","Artiva Biotherapeutics, Inc."
